"timeMillisSpent","score","initialized"
240429,"-316hard/49563soft","true"
240497,"-315hard/49563soft","true"
240625,"-314hard/49563soft","true"
241520,"-313hard/49191soft","true"
241605,"-312hard/49116soft","true"
241683,"-311hard/49038soft","true"
241967,"-311hard/49189soft","true"
242059,"-310hard/49089soft","true"
242141,"-309hard/49089soft","true"
242677,"-309hard/49253soft","true"
242849,"-308hard/49243soft","true"
243981,"-308hard/49877soft","true"
244122,"-308hard/49912soft","true"
244197,"-307hard/50083soft","true"
244312,"-307hard/50183soft","true"
244389,"-306hard/50178soft","true"
244558,"-306hard/50226soft","true"
244775,"-305hard/50238soft","true"
244928,"-304hard/50138soft","true"
245099,"-303hard/49792soft","true"
245709,"-303hard/49946soft","true"
245830,"-303hard/50028soft","true"
246447,"-303hard/50381soft","true"
246651,"-302hard/50267soft","true"
247303,"-301hard/50569soft","true"
247428,"-300hard/50394soft","true"
252869,"-299hard/49598soft","true"
252942,"-298hard/49698soft","true"
253162,"-298hard/49711soft","true"
253242,"-297hard/49711soft","true"
253347,"-296hard/49711soft","true"
253459,"-296hard/49892soft","true"
253528,"-295hard/49894soft","true"
253613,"-294hard/49884soft","true"
254749,"-293hard/49666soft","true"
254899,"-293hard/49674soft","true"
256346,"-292hard/49386soft","true"
257129,"-292hard/49390soft","true"
257343,"-292hard/49490soft","true"
257605,"-291hard/49490soft","true"
258713,"-291hard/49503soft","true"
258857,"-291hard/49583soft","true"
259122,"-290hard/49590soft","true"
259968,"-289hard/49410soft","true"
260643,"-289hard/49652soft","true"
260844,"-289hard/49752soft","true"
260915,"-288hard/49752soft","true"
261519,"-288hard/49759soft","true"
262157,"-287hard/49575soft","true"
262319,"-286hard/49575soft","true"
262647,"-285hard/49488soft","true"
262776,"-284hard/49308soft","true"
263219,"-284hard/49310soft","true"
263295,"-283hard/49178soft","true"
264133,"-282hard/48946soft","true"
264456,"-281hard/48510soft","true"
265122,"-280hard/48019soft","true"
265332,"-280hard/48078soft","true"
265597,"-280hard/48231soft","true"
265699,"-280hard/48311soft","true"
265806,"-280hard/48391soft","true"
266145,"-279hard/48391soft","true"
267057,"-279hard/48409soft","true"
267906,"-278hard/48183soft","true"
269160,"-277hard/47811soft","true"
269949,"-277hard/47823soft","true"
270580,"-277hard/47932soft","true"
270800,"-277hard/47942soft","true"
271006,"-276hard/47865soft","true"
271370,"-276hard/47885soft","true"
271679,"-276hard/48018soft","true"
271973,"-276hard/48036soft","true"
272340,"-276hard/48039soft","true"
273498,"-276hard/48229soft","true"
273869,"-276hard/48248soft","true"
274716,"-276hard/48428soft","true"
275770,"-276hard/48468soft","true"
276638,"-276hard/48514soft","true"
278359,"-276hard/48524soft","true"
278876,"-276hard/48534soft","true"
279530,"-275hard/48449soft","true"
281045,"-274hard/48449soft","true"
284770,"-274hard/48474soft","true"
287531,"-273hard/48352soft","true"
288910,"-272hard/48289soft","true"
293314,"-272hard/48308soft","true"
293708,"-271hard/48308soft","true"
294962,"-271hard/48326soft","true"
295432,"-271hard/48411soft","true"
296158,"-270hard/48411soft","true"
297446,"-270hard/48603soft","true"
297986,"-270hard/48751soft","true"
298320,"-270hard/48799soft","true"
299490,"-270hard/48899soft","true"
300000,"-270hard/48989soft","true"
