"timeMillisSpent","scoreCalculationSpeed"
1029,32514
2015,19862
3001,14896
4045,12505
5067,10379
6085,8015
7022,7837
8004,7478
9032,6350
10016,5804
11056,5492
12085,5551
13014,5270
14006,4935
15105,4454
16056,4290
17021,4227
18153,4325
19129,4180
20133,4063
21238,3692
22201,3389
23185,3317
24213,3175
25258,3123
26241,3320
27248,3241
28014,3195
29054,3138
30200,2848
31272,2283
32381,2207
33105,2254
34212,2211
35351,2149
36115,2136
37236,2183
38349,2199
39109,2147
40243,2158
41025,2086
42184,2112
43360,2081
44247,1839
45119,1871
46432,1864
47329,1819
48228,1815
49130,1809
50073,1730
51008,1745
52351,1822
53215,1888
54105,1833
55007,1809
56386,1775
57303,1779
58250,1723
59232,1661
