"timeMillisSpent","score","initialized"
119353,"-303hard/49893soft","true"
119751,"-303hard/49894soft","true"
120136,"-303hard/49907soft","true"
120269,"-303hard/49925soft","true"
120531,"-303hard/49951soft","true"
120689,"-303hard/49968soft","true"
121297,"-303hard/49983soft","true"
121377,"-301hard/50063soft","true"
123369,"-301hard/50069soft","true"
123729,"-301hard/50259soft","true"
123899,"-301hard/50276soft","true"
124995,"-300hard/50356soft","true"
125001,"-300hard/50500soft","true"
126192,"-300hard/50510soft","true"
126700,"-299hard/50320soft","true"
128123,"-299hard/50336soft","true"
128422,"-299hard/50388soft","true"
129527,"-298hard/50388soft","true"
129628,"-298hard/50470soft","true"
129939,"-297hard/50370soft","true"
130412,"-297hard/50659soft","true"
130514,"-297hard/50749soft","true"
133261,"-296hard/50569soft","true"
133466,"-295hard/50389soft","true"
137201,"-295hard/50434soft","true"
137822,"-295hard/50479soft","true"
138353,"-295hard/50579soft","true"
138470,"-294hard/50473soft","true"
138610,"-293hard/50443soft","true"
138619,"-293hard/50541soft","true"
138685,"-293hard/50743soft","true"
138687,"-292hard/50823soft","true"
139245,"-292hard/50899soft","true"
140505,"-292hard/50916soft","true"
141114,"-291hard/50916soft","true"
142306,"-291hard/51036soft","true"
145257,"-290hard/51142soft","true"
145721,"-290hard/51459soft","true"
146964,"-290hard/51489soft","true"
147109,"-290hard/51569soft","true"
147505,"-290hard/51684soft","true"
150043,"-289hard/51667soft","true"
150211,"-289hard/51839soft","true"
150355,"-288hard/51756soft","true"
151083,"-288hard/51766soft","true"
151580,"-287hard/51776soft","true"
152413,"-287hard/52145soft","true"
152734,"-287hard/52207soft","true"
153450,"-287hard/52439soft","true"
153915,"-287hard/52563soft","true"
155628,"-286hard/52473soft","true"
156979,"-283hard/52378soft","true"
158377,"-283hard/52490soft","true"
158716,"-283hard/52670soft","true"
160650,"-283hard/52750soft","true"
161742,"-282hard/52740soft","true"
161821,"-282hard/52750soft","true"
162270,"-281hard/52797soft","true"
162352,"-281hard/52819soft","true"
163607,"-281hard/52854soft","true"
165467,"-281hard/53034soft","true"
165620,"-281hard/53114soft","true"
166097,"-280hard/53104soft","true"
166169,"-278hard/53104soft","true"
167875,"-278hard/53120soft","true"
169712,"-277hard/53073soft","true"
171280,"-276hard/52721soft","true"
175487,"-275hard/52541soft","true"
175828,"-275hard/52571soft","true"
177571,"-275hard/52751soft","true"
177649,"-274hard/52751soft","true"
178390,"-273hard/52571soft","true"
178959,"-272hard/52071soft","true"
184275,"-272hard/52079soft","true"
184434,"-272hard/52104soft","true"
184435,"-271hard/52024soft","true"
185385,"-271hard/52104soft","true"
187096,"-271hard/52167soft","true"
187412,"-271hard/52257soft","true"
195301,"-270hard/52067soft","true"
198012,"-270hard/52077soft","true"
199126,"-270hard/52094soft","true"
200347,"-270hard/52100soft","true"
203788,"-270hard/52145soft","true"
206260,"-269hard/52145soft","true"
212549,"-269hard/52167soft","true"
212845,"-269hard/52389soft","true"
213307,"-269hard/52436soft","true"
213393,"-268hard/52346soft","true"
213926,"-268hard/52356soft","true"
215634,"-268hard/52362soft","true"
215967,"-268hard/52392soft","true"
220148,"-268hard/52426soft","true"
223220,"-268hard/52428soft","true"
223502,"-267hard/52292soft","true"
230576,"-266hard/52282soft","true"
233287,"-266hard/52382soft","true"
233730,"-265hard/52092soft","true"
238469,"-265hard/52127soft","true"
239078,"-265hard/52272soft","true"
242390,"-265hard/52278soft","true"
242533,"-265hard/52312soft","true"
244008,"-265hard/52401soft","true"
262169,"-264hard/51945soft","true"
265355,"-263hard/51935soft","true"
269746,"-262hard/51935soft","true"
269757,"-262hard/52145soft","true"
282445,"-262hard/52155soft","true"
282568,"-261hard/52155soft","true"
294443,"-261hard/52160soft","true"
298413,"-261hard/52162soft","true"
